Day Order,Date,Day,Is Sunday?,,
5,1/5/2020,Sunday,Yes,,
12,1/12/2020,Sunday,Yes,,
19,1/19/2020,Sunday,Yes,,
26,1/26/2020,Sunday,Yes,,
33,2/2/2020,Sunday,Yes,,
40,2/9/2020,Sunday,Yes,,
47,2/16/2020,Sunday,Yes,,
54,2/23/2020,Sunday,Yes,,
61,3/1/2020,Sunday,Yes,,
68,3/8/2020,Sunday,Yes,,
75,3/15/2020,Sunday,Yes,,
82,3/22/2020,Sunday,Yes,,
89,3/29/2020,Sunday,Yes,,
96,4/5/2020,Sunday,Yes,,
103,4/12/2020,Sunday,Yes,,
110,4/19/2020,Sunday,Yes,,
117,4/26/2020,Sunday,Yes,,
124,5/3/2020,Sunday,Yes,,
131,5/10/2020,Sunday,Yes,,
138,5/17/2020,Sunday,Yes,,
145,5/24/2020,Sunday,Yes,,
152,5/31/2020,Sunday,Yes,,
159,6/7/2020,Sunday,Yes,,
166,6/14/2020,Sunday,Yes,,
173,6/21/2020,Sunday,Yes,,
180,6/28/2020,Sunday,Yes,,
187,7/5/2020,Sunday,Yes,,
194,7/12/2020,Sunday,Yes,,
201,7/19/2020,Sunday,Yes,,
208,7/26/2020,Sunday,Yes,,
215,8/2/2020,Sunday,Yes,,
222,8/9/2020,Sunday,Yes,,
229,8/16/2020,Sunday,Yes,,
236,8/23/2020,Sunday,Yes,,
243,8/30/2020,Sunday,Yes,,
250,9/6/2020,Sunday,Yes,,
257,9/13/2020,Sunday,Yes,,
264,9/20/2020,Sunday,Yes,,
271,9/27/2020,Sunday,Yes,,
278,10/4/2020,Sunday,Yes,,
285,10/11/2020,Sunday,Yes,,
292,10/18/2020,Sunday,Yes,,
299,10/25/2020,Sunday,Yes,,
306,11/1/2020,Sunday,Yes,,
313,11/8/2020,Sunday,Yes,,
320,11/15/2020,Sunday,Yes,,
327,11/22/2020,Sunday,Yes,,
334,11/29/2020,Sunday,Yes,,
341,12/6/2020,Sunday,Yes,,
348,12/13/2020,Sunday,Yes,,
355,12/20/2020,Sunday,Yes,,
362,12/27/2020,Sunday,Yes,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
